player_name,position,goals,assists,shots,xG,xA,time,h_team,a_team,h_goals,a_goals,key_passes
Diego Llorente 2163,DC,0,0,1,0.020712099969387,0.0,90,Leeds,Chelsea,3,0,0
Kalidou Koulibaly 1376,DC,0,0,1,0.0116742001846432,0.0,86,Leeds,Chelsea,3,0,0
Marc Cucurella 7134,DML,0,0,2,0.1454630047082901,0.0277069006115198,90,Leeds,Chelsea,3,0,1
Marc Roca 5086,DMC,0,0,0,0.0,0.0,63,Leeds,Chelsea,3,0,0
Pascal Struijk 8717,DL,0,0,0,0.0,0.0239113997668027,90,Leeds,Chelsea,3,0,1
Rasmus Kristensen 10750,DR,0,0,0,0.0,0.0577105991542339,90,Leeds,Chelsea,3,0,1
Reece James 8067,DC,0,0,1,0.0125518999993801,0.0535957999527454,90,Leeds,Chelsea,3,0,1
Robin Koch 6273,DC,0,0,0,0.0,0.0,90,Leeds,Chelsea,3,0,0
Ruben Loftus-Cheek 688,DMR,0,0,2,0.1394540071487426,0.0577232018113136,90,Leeds,Chelsea,3,0,1
Thiago Silva 3288,DC,0,0,1,0.0133389998227357,0.0,90,Leeds,Chelsea,3,0,0
Tyler Adams 7352,DMC,0,0,1,0.0178456995636224,0.0905719995498657,90,Leeds,Chelsea,3,0,2
Aaron Cresswell 534,DL,0,0,1,0.0636591017246246,0.1754949986934662,90,West Ham,Brighton,0,2,2
Adam Webster 7699,DC,0,0,1,0.0525371991097927,0.0,90,West Ham,Brighton,0,2,0
Declan Rice 5553,DMC,0,0,1,0.0228129997849464,0.0826914981007576,90,West Ham,Brighton,0,2,2
Joël Veltman 8780,DC,0,0,0,0.0,0.0,90,West Ham,Brighton,0,2,0
Kurt Zouma 935,DC,0,0,2,0.1321099996566772,0.0,90,West Ham,Brighton,0,2,0
Leandro Trossard 7698,DML,1,0,5,0.5352410078048706,0.0831139981746673,90,West Ham,Brighton,0,2,2
Lewis Dunk 6048,DC,0,0,0,0.0,0.0,90,West Ham,Brighton,0,2,0
Solly March 6049,DMR,0,0,2,0.4443770051002502,0.0,87,West Ham,Brighton,0,2,0
Thilo Kehrer 2674,DC,0,0,0,0.0,0.0,90,West Ham,Brighton,0,2,0
Tomas Soucek 8288,DMC,0,0,3,0.2833830118179321,0.0,90,West Ham,Brighton,0,2,0
Vladimir Coufal 8965,DR,0,0,0,0.0,0.0398867018520832,77,West Ham,Brighton,0,2,1
Dan Burn 7382,DL,0,0,0,0.0,0.0548931993544101,90,Newcastle United,Manchester City,3,3,1
Fabian Schär 76,DC,0,0,0,0.0,0.0,90,Newcastle United,Manchester City,3,3,0
John Stones 586,DC,0,0,0,0.0,0.0,90,Newcastle United,Manchester City,3,3,0
João Cancelo 2379,DL,0,0,1,0.0359686985611915,0.0,90,Newcastle United,Manchester City,3,3,0
Kieran Trippier 652,DR,1,0,1,0.0656905993819236,0.0,90,Newcastle United,Manchester City,3,3,0
Kyle Walker 638,DR,0,0,0,0.0,0.0,90,Newcastle United,Manchester City,3,3,0
Nathan Aké 579,DC,0,0,0,0.0,0.0,20,Newcastle United,Manchester City,3,3,0
Sven Botman 8635,DC,0,0,1,0.0548931993544101,0.5041120052337646,90,Newcastle United,Manchester City,3,3,1
Andrew Robertson 1688,DL,0,0,0,0.0,0.1825239956378936,86,Manchester United,Liverpool,2,1,2
Christian Eriksen 646,DMC,0,0,2,0.10691499710083,0.0,87,Manchester United,Liverpool,2,1,0
Diogo Dalot 7281,DR,0,0,1,0.0108019998297095,0.494823008775711,87,Manchester United,Liverpool,2,1,2
Joseph Gomez 987,DC,0,0,0,0.0,0.0,90,Manchester United,Liverpool,2,1,0
Lisandro Martínez 10802,DC,0,0,0,0.0,0.0,90,Manchester United,Liverpool,2,1,0
Raphael Varane 2245,DC,0,0,0,0.0,0.0443237982690334,90,Manchester United,Liverpool,2,1,1
Scott McTominay 5560,DMC,0,0,0,0.0,0.0,90,Manchester United,Liverpool,2,1,0
Trent Alexander-Arnold 1791,DR,0,0,1,0.017977399751544,0.0542864985764026,90,Manchester United,Liverpool,2,1,2
Tyrell Malacia 10803,DL,0,0,0,0.0,0.0,90,Manchester United,Liverpool,2,1,0
Virgil van Dijk 833,DC,0,0,0,0.0,0.0,90,Manchester United,Liverpool,2,1,0
Armel Bella Kotchap 9710,DC,0,0,4,0.5615540146827698,0.0,90,Southampton,Manchester United,0,1,0
Christian Eriksen 646,DMC,0,0,1,0.4808819890022278,0.1811809986829757,90,Southampton,Manchester United,0,1,2
Diogo Dalot 7281,DR,0,1,0,0.0,0.1411540061235427,90,Southampton,Manchester United,0,1,2
James Ward-Prowse 843,DMC,0,0,0,0.0,0.1636819988489151,90,Southampton,Manchester United,0,1,4
Kyle Walker-Peters 885,DR,0,0,1,0.0353243015706539,0.0912071019411087,90,Southampton,Manchester United,0,1,1
Lisandro Martínez 10802,DC,0,0,0,0.0,0.0,90,Southampton,Manchester United,0,1,0
Mohammed Salisu 6923,DC,0,0,1,0.0430454984307289,0.0,90,Southampton,Manchester United,0,1,0
Moussa Djenepo 7701,DL,0,0,0,0.0,0.0216255001723766,89,Southampton,Manchester United,0,1,1
Raphael Varane 2245,DC,0,0,1,0.0146049000322818,0.0,90,Southampton,Manchester United,0,1,0
Romeo Lavia 10004,DMC,0,0,1,0.0216255001723766,0.010572999715805,90,Southampton,Manchester United,0,1,1
Scott McTominay 5560,DMC,0,0,2,0.2167879939079284,0.0,90,Southampton,Manchester United,0,1,0
Tyrell Malacia 10803,DL,0,0,0,0.0,0.0,90,Southampton,Manchester United,0,1,0
Aaron Hickey 8942,DR,0,0,2,0.035233199596405,0.02542470023036,90,Brentford,Everton,1,1,1
Ben Mee 1654,DC,0,0,0,0.0,0.0,90,Brentford,Everton,1,1,0
Conor Coady 6851,DC,0,1,0,0.0,0.2980740070343017,90,Brentford,Everton,1,1,1
James Tarkowski 1665,DC,0,0,2,0.4828329980373382,0.0,90,Brentford,Everton,1,1,0
Mason Holgate 985,DC,0,0,0,0.0,0.0830195024609565,70,Brentford,Everton,1,1,1
Nathan Patterson 10292,DMR,0,0,1,0.0383418016135692,0.4451780021190643,90,Brentford,Everton,1,1,1
Rico Henry 9679,DL,0,0,0,0.0,0.4566600024700165,90,Brentford,Everton,1,1,2
Vitalii Mykolenko 10291,DML,0,0,1,0.2999710142612457,0.0545795001089572,88,Brentford,Everton,1,1,1
Zanka 6030,DC,0,0,0,0.0,0.0839139968156814,70,Brentford,Everton,1,1,1
Adam Webster 7699,DC,0,0,3,0.4529129862785339,0.0,90,Brighton,Leeds,1,0,0
Diego Llorente 2163,DC,0,0,1,0.1146610006690025,0.0,90,Brighton,Leeds,1,0,0
Estupiñán 5136,DML,0,0,1,0.0129741998389363,0.3160749971866607,82,Brighton,Leeds,1,0,3
Joël Veltman 8780,DC,0,0,0,0.0,0.0,73,Brighton,Leeds,1,0,0
Lewis Dunk 6048,DC,0,0,1,0.0325983017683029,0.0741633996367454,90,Brighton,Leeds,1,0,1
Marc Roca 5086,DMC,0,0,0,0.0,0.0147751001641154,62,Brighton,Leeds,1,0,1
Pascal Struijk 8717,DL,0,0,1,0.0476965010166168,0.0401332005858421,90,Brighton,Leeds,1,0,1
Rasmus Kristensen 10750,DR,0,0,0,0.0,0.0,90,Brighton,Leeds,1,0,0
Robin Koch 6273,DC,0,0,0,0.0,0.0,90,Brighton,Leeds,1,0,0
Solly March 6049,DMR,0,0,4,0.680275022983551,0.0325983017683029,73,Brighton,Leeds,1,0,1
Tyler Adams 7352,DMC,0,0,0,0.0,0.0167088005691766,90,Brighton,Leeds,1,0,1
Boubakary Soumare 6310,DMC,0,0,0,0.0,0.0,58,Chelsea,Leicester,2,1,0
Daniel Amartey 759,DC,0,0,0,0.0,0.1344639956951141,90,Chelsea,Leicester,2,1,2
James Justin 7753,DL,0,0,1,0.0174694005399942,0.0692728012800216,90,Chelsea,Leicester,2,1,2
Jonny Evans 807,DC,0,0,0,0.0,0.0,90,Chelsea,Leicester,2,1,0
Marc Cucurella 7134,DL,0,1,0,0.0,0.0480592995882034,90,Chelsea,Leicester,2,1,2
Reece James 8067,DR,0,1,2,0.0418361015617847,0.7412639856338501,90,Chelsea,Leicester,2,1,2
Thiago Silva 3288,DC,0,0,1,0.0324863009154796,0.0,90,Chelsea,Leicester,2,1,0
Timothy Castagne 6157,DR,0,0,2,0.4935790002346039,0.0199487004429101,90,Chelsea,Leicester,2,1,1
Trevoh Chalobah 6615,DC,0,0,0,0.0,0.0,90,Chelsea,Leicester,2,1,0
Adam Smith 825,DR,0,0,0,0.0,0.0,48,Liverpool,Bournemouth,9,0,0
Andrew Robertson 1688,DL,0,1,1,0.0437557995319366,0.0468167997896671,71,Liverpool,Bournemouth,9,0,1
Chris Mepham 7384,DC,0,0,0,0.0,0.0,84,Liverpool,Bournemouth,9,0,0
Jefferson Lerma 2182,DMC,0,0,1,0.0239454004913568,0.0,90,Liverpool,Bournemouth,9,0,0
Jordan Zemura 10740,DL,0,0,0,0.0,0.0283233001828193,90,Liverpool,Bournemouth,9,0,1
Joseph Gomez 987,DC,0,0,0,0.0,0.0,90,Liverpool,Bournemouth,9,0,0
Lewis Cook 1789,DMC,0,0,0,0.0,0.0,79,Liverpool,Bournemouth,9,0,0
Marcos Senesi 10864,DC,0,0,0,0.0,0.0,90,Liverpool,Bournemouth,9,0,0
Trent Alexander-Arnold 1791,DR,1,0,1,0.0197627004235982,0.1356589943170547,85,Liverpool,Bournemouth,9,0,3
Virgil van Dijk 833,DC,1,0,3,0.1387200057506561,0.0,90,Liverpool,Bournemouth,9,0,0
Joachim Andersen 6314,DC,1,0,1,0.0758628025650978,0.0,90,Manchester City,Crystal Palace,4,2,0
Joel Ward 510,DC,0,0,0,0.0,0.0,90,Manchester City,Crystal Palace,4,2,0
John Stones 586,DC,0,1,1,0.082406997680664,0.5720340013504028,90,Manchester City,Crystal Palace,4,2,1
João Cancelo 2379,DL,0,0,0,0.0,0.0586181990802288,65,Manchester City,Crystal Palace,4,2,1
Kyle Walker 638,DR,0,0,0,0.0,0.0654736012220382,90,Manchester City,Crystal Palace,4,2,1
Marc Guehi 7603,DC,0,0,0,0.0,0.0,90,Manchester City,Crystal Palace,4,2,0
Nathaniel Clyne 603,DR,0,0,0,0.0,0.0,78,Manchester City,Crystal Palace,4,2,0
Rúben Dias 8961,DC,0,0,0,0.0,0.0,90,Manchester City,Crystal Palace,4,2,0
Tyrick Mitchell 8214,DL,0,0,0,0.0,0.0,61,Manchester City,Crystal Palace,4,2,0
Antonee Robinson 8940,DL,0,0,0,0.0,0.0,90,Arsenal,Fulham,2,1,0
Ben White 7298,DR,0,0,0,0.0,0.0,90,Arsenal,Fulham,2,1,0
Gabriel 5613,DC,1,0,1,0.8410509824752808,0.0956408008933067,90,Arsenal,Fulham,2,1,1
Granit Xhaka 204,DMC,0,0,1,0.1101230010390281,0.1804260015487671,90,Arsenal,Fulham,2,1,2
Harrison Reed 910,DMC,0,0,0,0.0,0.0989599004387855,90,Arsenal,Fulham,2,1,2
João Palhinha 10715,DMC,0,0,1,0.0650418996810913,0.0,89,Arsenal,Fulham,2,1,0
Kenny Tete 5973,DR,0,0,0,0.0,0.0,80,Arsenal,Fulham,2,1,0
Kieran Tierney 8089,DL,0,0,1,0.0102923000231385,0.0321587994694709,62,Arsenal,Fulham,2,1,1
Mohamed Elneny 496,DMC,0,0,0,0.0,0.0,90,Arsenal,Fulham,2,1,0
Tim Ream 7184,DC,0,0,0,0.0,0.0,89,Arsenal,Fulham,2,1,0
Tosin Adarabioyo 5590,DC,0,0,0,0.0,0.0,90,Arsenal,Fulham,2,1,0
William Saliba 6888,DC,0,1,0,0.0,0.8410509824752808,90,Arsenal,Fulham,2,1,1
Aaron Cresswell 534,DC,0,0,1,0.0620273016393184,0.0,90,Aston Villa,West Ham,0,1,0
Ben Johnson 6424,DMR,0,0,0,0.0,0.0,22,Aston Villa,West Ham,0,1,0
Calum Chambers 508,DC,0,0,0,0.0,0.0,90,Aston Villa,West Ham,0,1,0
Emerson 1245,DML,0,0,0,0.0,0.0,47,Aston Villa,West Ham,0,1,0
Ezri Konsa Ngoyo 7726,DC,0,0,0,0.0,0.0,90,Aston Villa,West Ham,0,1,0
Kurt Zouma 935,DC,0,0,0,0.0,0.0,90,Aston Villa,West Ham,0,1,0
Lucas Digne 1823,DL,0,0,0,0.0,0.1146819964051246,90,Aston Villa,West Ham,0,1,3
Matthew Cash 8864,DR,0,0,1,0.0674521997570991,0.0,90,Aston Villa,West Ham,0,1,0
Thilo Kehrer 2674,DC,0,0,0,0.0,0.0,90,Aston Villa,West Ham,0,1,0
Dan Burn 7382,DL,0,0,0,0.0,0.0,67,Wolverhampton Wanderers,Newcastle United,1,1,0
Fabian Schär 76,DC,0,0,2,0.1942159980535507,0.1509889960289001,90,Wolverhampton Wanderers,Newcastle United,1,1,3
Jonny 2280,DL,0,0,0,0.0,0.0,90,Wolverhampton Wanderers,Newcastle United,1,1,0
Kieran Trippier 652,DR,0,0,0,0.0,0.106962002813816,90,Wolverhampton Wanderers,Newcastle United,1,1,2
Max Kilman 7332,DC,0,0,0,0.0,0.0,90,Wolverhampton Wanderers,Newcastle United,1,1,0
Nathan Collins 9733,DC,0,0,0,0.0,0.0,90,Wolverhampton Wanderers,Newcastle United,1,1,0
Nélson Semedo 6163,DR,0,0,0,0.0,0.0416130982339382,90,Wolverhampton Wanderers,Newcastle United,1,1,1
Sven Botman 8635,DC,0,0,0,0.0,0.0,90,Wolverhampton Wanderers,Newcastle United,1,1,0
Ben Davies 660,DC,0,0,1,0.06769959628582,0.0,90,Nottingham Forest,Tottenham,0,2,0
Davinson Sánchez 6249,DC,0,0,0,0.0,0.0,90,Nottingham Forest,Tottenham,0,2,0
Emerson 7430,DMR,0,0,0,0.0,0.0,90,Nottingham Forest,Tottenham,0,2,0
Eric Dier 643,DC,0,0,0,0.0,0.0,90,Nottingham Forest,Tottenham,0,2,0
Harry Toffolo 10758,DML,0,0,0,0.0,0.0,90,Nottingham Forest,Tottenham,0,2,0
Ivan Perisic 448,DML,0,0,1,0.0357034988701343,0.0,75,Nottingham Forest,Tottenham,0,2,0
Joe Worrall 10756,DC,0,0,1,0.0854300037026405,0.0,90,Nottingham Forest,Tottenham,0,2,0
Neco Williams 8204,DMR,0,0,3,0.1599059998989105,0.0193064995110034,90,Nottingham Forest,Tottenham,0,2,1
Scott McKenna 10757,DC,0,0,0,0.0,0.1291079968214035,90,Nottingham Forest,Tottenham,0,2,2
Steve Cook 458,DC,0,0,0,0.0,0.0808497965335846,76,Nottingham Forest,Tottenham,0,2,1
Adam Webster 7699,DC,0,0,1,0.0200036000460386,0.0,90,Fulham,Brighton,2,1,0
Antonee Robinson 8940,DL,0,0,0,0.0,0.0201843995600938,90,Fulham,Brighton,2,1,1
Estupiñán 5136,DML,0,0,0,0.0,0.0,63,Fulham,Brighton,2,1,0
Harrison Reed 910,DMC,0,0,0,0.0,0.0,90,Fulham,Brighton,2,1,0
João Palhinha 10715,DMC,0,0,2,0.0495819002389907,0.0,90,Fulham,Brighton,2,1,0
Joël Veltman 8780,DC,0,0,0,0.0,0.0,64,Fulham,Brighton,2,1,0
Kenny Tete 5973,DR,0,0,0,0.0,0.0,90,Fulham,Brighton,2,1,0
Lewis Dunk 6048,DC,0,0,0,0.0,0.0,90,Fulham,Brighton,2,1,0
Solly March 6049,DMR,0,0,1,0.0504507012665271,0.0,90,Fulham,Brighton,2,1,0
Tim Ream 7184,DC,0,0,0,0.0,0.0,90,Fulham,Brighton,2,1,0
Tosin Adarabioyo 5590,DC,0,0,0,0.0,0.0297848992049694,90,Fulham,Brighton,2,1,1
Aaron Hickey 8942,DR,0,0,0,0.0,0.0,80,Crystal Palace,Brentford,1,1,0
Ben Mee 1654,DC,0,0,2,0.4683000147342682,0.0,90,Crystal Palace,Brentford,1,1,0
Cheick Oumar Doucoure 8666,DMC,0,1,0,0.0,0.0521160997450351,90,Crystal Palace,Brentford,1,1,2
Joachim Andersen 6314,DC,0,0,0,0.0,0.0629002973437309,90,Crystal Palace,Brentford,1,1,1
Joel Ward 510,DL,0,0,0,0.0,0.0,90,Crystal Palace,Brentford,1,1,0
Marc Guehi 7603,DC,0,0,0,0.0,0.0,90,Crystal Palace,Brentford,1,1,0
Nathaniel Clyne 603,DR,0,0,0,0.0,0.0958679020404815,90,Crystal Palace,Brentford,1,1,2
Rico Henry 9679,DL,0,0,1,0.3166469931602478,0.0270677004009485,90,Crystal Palace,Brentford,1,1,1
Zanka 6030,DC,0,0,1,0.1355119943618774,0.0,90,Crystal Palace,Brentford,1,1,0
Armel Bella Kotchap 9710,DC,0,0,0,0.0,0.0,90,Southampton,Chelsea,2,1,0
César Azpilicueta 681,DR,0,0,0,0.0,0.0819984003901481,69,Southampton,Chelsea,2,1,1
Ibrahima Diallo 6736,DMC,0,0,0,0.0,0.024609399959445,90,Southampton,Chelsea,2,1,1
Kalidou Koulibaly 1376,DC,0,0,0,0.0,0.0,90,Southampton,Chelsea,2,1,0
Kyle Walker-Peters 885,DR,0,0,1,0.024609399959445,0.0,90,Southampton,Chelsea,2,1,0
Marc Cucurella 7134,DL,0,0,0,0.0,0.0,90,Southampton,Chelsea,2,1,0
Mohammed Salisu 6923,DC,0,0,1,0.2660340070724487,0.0,90,Southampton,Chelsea,2,1,0
Romain Perraud 6500,DL,0,1,1,0.0120612001046538,0.9063040018081664,75,Southampton,Chelsea,2,1,2
Romeo Lavia 10004,DMC,1,0,1,0.0364013984799385,0.0,62,Southampton,Chelsea,2,1,0
Thiago Silva 3288,DC,0,0,1,0.0114740999415516,0.0,90,Southampton,Chelsea,2,1,0
Conor Coady 6851,DC,0,0,0,0.0,0.0,90,Leeds,Everton,1,1,0
Diego Llorente 2163,DC,0,0,2,0.0630310997366905,0.0,90,Leeds,Everton,1,1,0
James Tarkowski 1665,DC,0,0,0,0.0,0.4865230023860931,90,Leeds,Everton,1,1,1
Marc Roca 5086,DMC,0,0,0,0.0,0.0522655993700027,90,Leeds,Everton,1,1,2
Nathan Patterson 10292,DR,0,0,1,0.321177989244461,0.0,90,Leeds,Everton,1,1,0
Pascal Struijk 8717,DL,0,0,0,0.0,0.1019299998879432,90,Leeds,Everton,1,1,1
Rasmus Kristensen 10750,DR,0,0,0,0.0,0.0556101985275745,90,Leeds,Everton,1,1,1
Robin Koch 6273,DC,0,0,2,0.0284158997237682,0.0,90,Leeds,Everton,1,1,0
Tyler Adams 7352,DMC,0,0,0,0.0,0.0,90,Leeds,Everton,1,1,0
Vitalii Mykolenko 10291,DL,0,0,1,0.0135722002014517,0.0,90,Leeds,Everton,1,1,0
Cheikhou Kouyaté 532,DC,0,0,0,0.0,0.0,80,Manchester City,Nottingham Forest,6,0,0
Joe Worrall 10756,DC,0,0,0,0.0,0.0,90,Manchester City,Nottingham Forest,6,0,0
John Stones 586,DC,0,1,0,0.0,0.6953009963035583,76,Manchester City,Nottingham Forest,6,0,1
João Cancelo 2379,DL,1,0,1,0.0452237017452716,0.0,69,Manchester City,Nottingham Forest,6,0,0
Kyle Walker 638,DR,0,0,0,0.0,0.0,90,Manchester City,Nottingham Forest,6,0,0
Neco Williams 8204,DR,0,0,0,0.0,0.3235540091991424,90,Manchester City,Nottingham Forest,6,0,3
Renan Lodi 7891,DL,0,0,1,0.2220820039510727,0.0,70,Manchester City,Nottingham Forest,6,0,0
Rúben Dias 8961,DC,0,0,0,0.0,0.0,90,Manchester City,Nottingham Forest,6,0,0
Scott McKenna 10757,DC,0,0,0,0.0,0.0,90,Manchester City,Nottingham Forest,6,0,0
Albert Sambi Lokonga 9689,DMC,0,0,0,0.0,0.0,90,Arsenal,Aston Villa,2,1,0
Ben White 7298,DR,0,0,0,0.0,0.5757169723510742,67,Arsenal,Aston Villa,2,1,1
Ezri Konsa Ngoyo 7726,DC,0,0,0,0.0,0.0,90,Arsenal,Aston Villa,2,1,0
Gabriel 5613,DC,0,0,4,0.2053489983081817,0.0,90,Arsenal,Aston Villa,2,1,0
Granit Xhaka 204,DMC,0,0,0,0.0,0.0501476004719734,90,Arsenal,Aston Villa,2,1,2
Kieran Tierney 8089,DL,0,0,2,0.1663919985294342,0.0,90,Arsenal,Aston Villa,2,1,0
Lucas Digne 1823,DL,0,0,0,0.0,0.0,90,Arsenal,Aston Villa,2,1,0
Matthew Cash 8864,DR,0,0,0,0.0,0.057805098593235,90,Arsenal,Aston Villa,2,1,1
Tyrone Mings 1024,DC,0,0,0,0.0,0.0,90,Arsenal,Aston Villa,2,1,0
William Saliba 6888,DC,0,0,0,0.0,0.0713384002447128,90,Arsenal,Aston Villa,2,1,1
Adam Smith 825,DR,0,0,0,0.0,0.0,90,Bournemouth,Wolverhampton Wanderers,0,0,0
Chris Mepham 7384,DC,0,0,0,0.0,0.0,90,Bournemouth,Wolverhampton Wanderers,0,0,0
Jonny 2280,DL,0,0,1,0.0481871999800205,0.0,90,Bournemouth,Wolverhampton Wanderers,0,0,0
Jordan Zemura 10740,DL,0,0,0,0.0,0.0,72,Bournemouth,Wolverhampton Wanderers,0,0,0
Lloyd Kelly 8090,DC,0,0,0,0.0,0.0,90,Bournemouth,Wolverhampton Wanderers,0,0,0
Max Kilman 7332,DC,0,0,0,0.0,0.0,90,Bournemouth,Wolverhampton Wanderers,0,0,0
Nathan Collins 9733,DC,0,0,0,0.0,0.0746328979730606,90,Bournemouth,Wolverhampton Wanderers,0,0,2
