player_name,position,goals,assists,shots,xG,xA,time,h_team,a_team,h_goals,a_goals,key_passes
Jack Colback 767,MC,0,0,0,0.0,0.0183614995330572,56,Newcastle United,Chelsea,2,2,1
James McArthur 633,MC,0,0,1,0.020958999171853,0.0607221014797687,90,Crystal Palace,West Bromwich Albion,2,0,2
Idrissa Gueye 668,MC,0,0,1,0.0216899998486042,0.0,90,Aston Villa,Stoke,0,1,0
Matt Ritchie 461,MR,0,1,1,0.0135573996230959,0.3951430022716522,90,Bournemouth,Watford,1,1,2
Jeffrey Schlupp 757,ML,1,0,4,1.001670002937317,0.0,80,Norwich,Leicester,1,2,0
Marc Albrighton 753,MR,0,0,0,0.0,0.6270220279693604,90,Norwich,Leicester,1,2,3
N&#039;Golo Kanté 751,MC,0,1,0,0.0,0.588575005531311,90,Norwich,Leicester,1,2,3
James Milner 489,MC,0,1,2,0.2295310050249099,0.5927379727363586,90,Everton,Liverpool,1,1,4
Philippe Coutinho 488,MC,0,0,3,0.136475995182991,0.0808553993701934,90,Everton,Liverpool,1,1,1
Jeffrey Schlupp 757,ML,0,0,0,0.0,0.0084696495905518,50,Southampton,Leicester,2,2,1
Marc Albrighton 753,MR,0,0,3,0.1243240013718605,0.6172509789466858,90,Southampton,Leicester,2,2,4
N&#039;Golo Kanté 751,MC,0,0,1,0.0106312995776534,0.01643249951303,90,Southampton,Leicester,2,2,1
Adam Smith 825,MR,0,0,1,0.0273656006902456,0.0,81,Manchester City,Bournemouth,5,1,0
Matt Ritchie 461,ML,0,0,0,0.0,0.0263902992010116,90,Manchester City,Bournemouth,5,1,1
Jack Colback 767,MC,0,0,0,0.0,0.0,90,Newcastle United,Norwich,6,2,0
Jeffrey Schlupp 757,ML,0,0,3,0.1215630024671554,0.0524815991520881,90,Leicester,Crystal Palace,1,0,2
Marc Albrighton 753,MR,0,0,1,0.015476600266993,0.0,63,Leicester,Crystal Palace,1,0,0
N&#039;Golo Kanté 751,MC,0,0,1,0.0128327002748847,0.0,90,Leicester,Crystal Palace,1,0,0
Nathan Redmond 790,MR,0,0,3,0.4211330115795135,0.2352309972047805,90,Norwich,West Bromwich Albion,0,1,3
Jack Colback 767,MC,0,0,2,0.1664229929447174,0.0741885975003242,52,Sunderland,Newcastle United,3,0,1
Matt Ritchie 461,MR,1,0,5,0.1480959951877594,0.1717060059309005,90,Bournemouth,Tottenham,1,5,2
James Milner 489,MC,0,1,2,0.1159290000796318,0.2059600055217743,90,Liverpool,Southampton,1,1,5
James Milner 489,MC,0,0,1,0.0321732014417648,0.0892582014203071,67,Chelsea,Liverpool,1,3,2
Marc Albrighton 753,ML,0,1,2,0.0387124009430408,0.5806419849395752,77,West Bromwich Albion,Leicester,2,3,3
N&#039;Golo Kanté 751,MC,0,0,0,0.0,0.0,90,West Bromwich Albion,Leicester,2,3,0
Riyad Mahrez 750,MR,2,0,4,1.1832000017166138,0.1815630048513412,90,West Bromwich Albion,Leicester,2,3,1
Matt Ritchie 461,MR,0,0,2,0.0394679009914398,0.0,90,Southampton,Bournemouth,2,0,0
Junior Stanislas 463,ML,0,0,1,0.0592205002903938,0.1777960062026977,74,Bournemouth,Newcastle United,0,1,2
Matt Ritchie 461,MR,0,0,5,0.1511670053005218,0.3312579989433288,90,Bournemouth,Newcastle United,0,1,3
Jeffrey Schlupp 757,ML,0,0,1,0.0284070000052452,0.0,47,Leicester,Watford,2,1,0
Marc Albrighton 753,MR,0,0,4,0.2561950087547302,0.0923736989498138,90,Leicester,Watford,2,1,1
N&#039;Golo Kanté 751,MC,1,0,1,0.0564142018556594,0.1740639954805374,90,Leicester,Watford,2,1,3
Idrissa Gueye 668,MC,0,0,1,0.0182555001229047,0.0,90,Aston Villa,Manchester City,0,0,0
Junior Stanislas 463,ML,0,1,1,0.0647066980600357,0.7572309970855713,90,Swansea,Bournemouth,2,2,4
Matt Ritchie 461,MR,0,1,2,0.1497129946947097,0.2416249960660934,83,Swansea,Bournemouth,2,2,2
Marc Albrighton 753,ML,0,0,1,0.0577099993824958,0.5404369831085205,90,Newcastle United,Leicester,0,3,4
N&#039;Golo Kanté 751,MC,0,0,0,0.0,0.016372499987483,90,Newcastle United,Leicester,0,3,1
Riyad Mahrez 750,MR,0,1,2,0.1191760003566742,1.4082800149917605,90,Newcastle United,Leicester,0,3,5
Idrissa Gueye 668,MC,0,0,0,0.0,0.0,47,Everton,Aston Villa,4,0,0
James Milner 489,MC,0,0,1,0.0245603006333112,0.0,90,Manchester City,Liverpool,1,4,0
Idrissa Gueye 668,MC,0,0,1,0.0163762997835874,0.0235248003154993,83,Aston Villa,Watford,2,3,1
Junior Stanislas 463,ML,2,0,4,0.7586669921875,0.1280180066823959,90,Bournemouth,Everton,3,3,2
Matt Ritchie 461,MR,0,0,3,0.1228410005569458,0.1452099978923797,90,Bournemouth,Everton,3,3,2
James Ward-Prowse 843,MC,0,0,1,0.0537212006747722,0.4993200004100799,80,Manchester City,Southampton,3,1,5
Oriol Romeu 842,MC,0,0,0,0.0,0.0,49,Manchester City,Southampton,3,1,0
