player_name,position,goals,assists,shots,xG,xA,time,h_team,a_team,h_goals,a_goals,key_passes
Jamie Vardy 755,FW,1,0,5,1.17316997051239,0.0559713989496231,90,Norwich,Leicester,1,2,2
Danny Ings 986,FW,1,0,2,0.5287560224533081,0.0244017001241445,79,Everton,Liverpool,1,1,1
Harry Kane 647,FW,0,0,3,0.5558040142059326,0.0541567988693714,83,Swansea,Tottenham,2,2,2
Anthony Martial 553,FW,0,0,1,0.4057430028915405,0.0285653006285429,90,Arsenal,Manchester United,3,0,1
Theo Walcott 503,FW,0,2,1,0.0463676005601882,0.2547320127487182,77,Arsenal,Manchester United,3,0,2
Harry Kane 647,FW,0,0,4,0.2732160091400146,0.1332760006189346,90,Tottenham,Liverpool,0,0,2
Jamie Vardy 755,FW,2,0,10,1.9106600284576416,0.0183393992483615,90,Southampton,Leicester,2,2,1
Salomón Rondón 813,FW,0,0,3,0.3219189941883087,0.0,72,West Bromwich Albion,Sunderland,1,0,0
Diego Costa 802,FW,1,0,2,0.5731880068778992,0.0605700984597206,90,Chelsea,Aston Villa,2,0,1
Theo Walcott 503,FW,0,0,1,0.0449113994836807,0.0,65,Watford,Arsenal,0,3,0
Aleksandar Mitrovic 773,FW,1,0,1,0.3049950003623962,0.0997612029314041,90,Newcastle United,Norwich,6,2,1
Ayoze Pérez 770,FW,1,1,4,0.4963020086288452,0.037109799683094,90,Newcastle United,Norwich,6,2,1
Jamie Vardy 755,FW,1,0,3,1.0426000356674194,0.0,90,Leicester,Crystal Palace,1,0,0
Diego Costa 802,FW,0,0,2,0.1578119993209839,0.0078092999756336,90,West Ham,Chelsea,2,1,1
Salomón Rondón 813,FW,1,0,2,0.8506289720535278,0.0,75,Norwich,West Bromwich Albion,0,1,0
Aleksandar Mitrovic 773,FW,0,0,4,0.5156329870223999,0.2094720005989074,90,Sunderland,Newcastle United,3,0,2
Ayoze Pérez 770,FW,0,0,4,0.1623779982328415,0.0287079997360706,90,Sunderland,Newcastle United,3,0,1
Harry Kane 647,FW,3,0,5,2.079780101776123,0.0,87,Bournemouth,Tottenham,1,5,0
Diego Costa 802,FW,0,0,1,0.0701083987951278,0.0328036993741989,90,Chelsea,Liverpool,1,3,1
Roberto Firmino 482,FW,0,1,2,0.052980400621891,0.0497304983437061,79,Chelsea,Liverpool,1,3,1
Aleksandar Mitrovic 773,FW,0,0,3,0.266523003578186,0.0,90,Newcastle United,Stoke,0,0,0
Ayoze Pérez 770,FW,0,0,2,0.0529439002275466,0.4727590084075928,90,Newcastle United,Stoke,0,0,6
Jamie Vardy 755,FW,1,0,4,0.7803850173950195,0.087633803486824,90,West Bromwich Albion,Leicester,2,3,2
Salomón Rondón 813,FW,1,0,4,0.2997100055217743,0.1429660022258758,90,West Bromwich Albion,Leicester,2,3,1
Harry Kane 647,FW,1,0,3,0.5140969753265381,0.0180137995630502,90,Tottenham,Aston Villa,3,1,1
Aleksandar Mitrovic 773,FW,0,0,0,0.0,0.0,64,Bournemouth,Newcastle United,0,1,0
Ayoze Pérez 770,FW,1,0,1,0.0922916978597641,0.0,78,Bournemouth,Newcastle United,0,1,0
Jamie Vardy 755,FW,1,0,3,0.8833069801330566,0.0,90,Leicester,Watford,2,1,0
Anthony Martial 553,FW,0,0,2,0.0797564983367919,0.1503659933805465,90,Manchester United,West Bromwich Albion,2,0,2
Salomón Rondón 813,FW,0,0,1,0.1013780012726783,0.0,74,Manchester United,West Bromwich Albion,2,0,0
Diego Costa 802,FW,0,0,2,0.1623059958219528,0.1805800050497055,90,Stoke,Chelsea,1,0,2
Jordan Ayew 672,FW,0,0,0,0.0,0.0,85,Aston Villa,Manchester City,0,0,0
Harry Kane 647,FW,1,0,6,0.4969260096549988,0.0,90,Arsenal,Tottenham,1,1,0
Jesse Lingard 558,FW,0,0,3,0.4447590112686157,0.0259994007647037,90,Watford,Manchester United,1,2,1
Salomón Rondón 813,FW,0,0,1,0.0769127011299133,0.0,70,West Bromwich Albion,Arsenal,2,1,0
Aleksandar Mitrovic 773,FW,0,0,1,0.0470078997313976,0.0,64,Newcastle United,Leicester,0,3,0
Ayoze Pérez 770,FW,0,0,1,0.0679714977741241,0.0610256008803844,83,Newcastle United,Leicester,0,3,1
Jamie Vardy 755,FW,1,0,6,0.6882680058479309,0.0577099993824958,79,Newcastle United,Leicester,0,3,1
Jack Grealish 675,FWL,0,0,1,0.0325185991823673,0.1197969987988472,75,Everton,Aston Villa,4,0,4
Jordan Ayew 672,FW,0,0,2,0.1155939996242523,0.0,90,Everton,Aston Villa,4,0,0
Diego Costa 802,FW,1,0,5,0.9580349922180176,0.0374762006103992,90,Chelsea,Norwich,1,0,1
Adam Lallana 486,FWR,0,0,0,0.0,0.0245603006333112,90,Manchester City,Liverpool,1,4,1
Philippe Coutinho 488,FWL,1,1,3,0.4722389876842499,1.105739951133728,70,Manchester City,Liverpool,1,4,3
Roberto Firmino 482,FW,1,1,5,1.5616600513458252,0.4484809935092926,79,Manchester City,Liverpool,1,4,2
Harry Kane 647,FW,2,0,6,1.0842000246047974,0.0,90,Tottenham,West Ham,4,1,0
Jordan Ayew 672,FW,1,0,4,0.741765022277832,0.4588139951229095,90,Aston Villa,Watford,2,3,1
Anthony Martial 553,FW,0,0,0,0.0,0.1045600026845932,90,Leicester,Manchester United,1,1,1
Jamie Vardy 755,FW,1,0,1,0.1419969946146011,0.0245047993957996,90,Leicester,Manchester United,1,1,1
Harry Kane 647,FW,0,0,4,0.1141240000724792,0.052641499787569,90,Tottenham,Chelsea,0,0,1
Salomón Rondón 813,FW,0,0,2,0.6157429814338684,0.0,90,West Ham,West Bromwich Albion,1,1,0
Roberto Firmino 482,FWL,0,0,2,0.0965434983372688,0.0,65,Liverpool,Swansea,1,0,0
Jamie Vardy 755,FW,0,1,3,0.5662009716033936,0.2240079939365387,90,Swansea,Leicester,0,3,2
Harry Kane 647,FW,0,0,3,0.6917740106582642,0.0281355995684862,90,West Bromwich Albion,Tottenham,1,1,1
Salomón Rondón 813,FW,0,0,5,0.2118790000677108,0.0,90,West Bromwich Albion,Tottenham,1,1,0
Anthony Martial 553,FW,0,0,3,0.2657380104064941,0.6839230060577393,90,Manchester United,West Ham,0,0,2
Jordan Ayew 672,FWL,0,0,2,0.0979344025254249,0.0325915999710559,90,Southampton,Aston Villa,1,1,1
